====================================================================================================
EMIT family-B CERTIFICATE   target a >= 0.8344
  witness: 1024-gon disk, 1024 arc points per curved core
  arc sagitta 4.706e-06  ->  deficit <= 1.600e-05
  search threshold = 0.834416002117   (5-D ceiling is 0.834781)
  4,194,304 seeds (depth 22), hmin 1e-05
====================================================================================================
    2,400,000/4,194,304 seeds      131,740,648 nodes   [ 141.1 min,    15,566 nodes/s]
    2,420,000/4,194,304 seeds      131,760,648 nodes   [ 141.2 min,    15,548 nodes/s]
    2,440,000/4,194,304 seeds      131,780,648 nodes   [ 141.4 min,    15,533 nodes/s]
    2,460,000/4,194,304 seeds      131,800,648 nodes   [ 141.6 min,    15,517 nodes/s]
    2,480,000/4,194,304 seeds      141,849,728 nodes   [ 146.8 min,    16,108 nodes/s]
    2,500,000/4,194,304 seeds      141,869,728 nodes   [ 146.9 min,    16,092 nodes/s]
    2,520,000/4,194,304 seeds      141,889,728 nodes   [ 147.1 min,    16,076 nodes/s]
    2,540,000/4,194,304 seeds      141,909,728 nodes   [ 147.3 min,    16,059 nodes/s]
    2,560,000/4,194,304 seeds      141,929,728 nodes   [ 147.4 min,    16,044 nodes/s]
    2,580,000/4,194,304 seeds      141,949,728 nodes   [ 147.6 min,    16,027 nodes/s]
    2,600,000/4,194,304 seeds      141,969,728 nodes   [ 147.8 min,    16,012 nodes/s]
    2,620,000/4,194,304 seeds      141,989,728 nodes   [ 147.9 min,    15,996 nodes/s]
    2,640,000/4,194,304 seeds      142,009,728 nodes   [ 148.1 min,    15,981 nodes/s]
    2,660,000/4,194,304 seeds      142,029,728 nodes   [ 148.3 min,    15,965 nodes/s]
    2,680,000/4,194,304 seeds      142,049,728 nodes   [ 148.4 min,    15,951 nodes/s]
    2,700,000/4,194,304 seeds      142,624,956 nodes   [ 148.6 min,    15,998 nodes/s]
    2,720,000/4,194,304 seeds      180,402,432 nodes   [ 205.9 min,    14,603 nodes/s]
    2,740,000/4,194,304 seeds      180,422,432 nodes   [ 206.1 min,    14,593 nodes/s]
    2,760,000/4,194,304 seeds      180,442,432 nodes   [ 206.2 min,    14,582 nodes/s]
    2,780,000/4,194,304 seeds      180,562,362 nodes   [ 206.3 min,    14,585 nodes/s]
    2,800,000/4,194,304 seeds      180,582,362 nodes   [ 206.4 min,    14,580 nodes/s]
    2,820,000/4,194,304 seeds      180,602,362 nodes   [ 206.5 min,    14,575 nodes/s]
    2,840,000/4,194,304 seeds      180,622,362 nodes   [ 206.6 min,    14,571 nodes/s]
    2,860,000/4,194,304 seeds      180,642,362 nodes   [ 206.7 min,    14,567 nodes/s]
    2,880,000/4,194,304 seeds      180,662,362 nodes   [ 206.8 min,    14,562 nodes/s]
    2,900,000/4,194,304 seeds      180,682,362 nodes   [ 206.9 min,    14,557 nodes/s]
    2,920,000/4,194,304 seeds      180,702,362 nodes   [ 207.0 min,    14,552 nodes/s]
    2,940,000/4,194,304 seeds      180,722,362 nodes   [ 207.0 min,    14,547 nodes/s]
    2,960,000/4,194,304 seeds      191,973,358 nodes   [ 220.0 min,    14,543 nodes/s]
    2,980,000/4,194,304 seeds      191,993,358 nodes   [ 220.2 min,    14,534 nodes/s]
    3,000,000/4,194,304 seeds      192,013,358 nodes   [ 220.3 min,    14,523 nodes/s]
    3,020,000/4,194,304 seeds      192,033,358 nodes   [ 220.5 min,    14,512 nodes/s]
    3,040,000/4,194,304 seeds      192,053,358 nodes   [ 220.7 min,    14,503 nodes/s]
    3,060,000/4,194,304 seeds      192,073,358 nodes   [ 220.9 min,    14,493 nodes/s]
    3,080,000/4,194,304 seeds      192,093,358 nodes   [ 221.1 min,    14,482 nodes/s]
    3,100,000/4,194,304 seeds      192,113,358 nodes   [ 221.2 min,    14,473 nodes/s]
    3,120,000/4,194,304 seeds      192,133,358 nodes   [ 221.4 min,    14,464 nodes/s]
    3,140,000/4,194,304 seeds      192,153,358 nodes   [ 221.6 min,    14,455 nodes/s]
    3,160,000/4,194,304 seeds      192,173,358 nodes   [ 221.7 min,    14,446 nodes/s]
    3,180,000/4,194,304 seeds      192,193,358 nodes   [ 221.9 min,    14,437 nodes/s]
    3,200,000/4,194,304 seeds      236,918,516 nodes   [ 228.2 min,    17,304 nodes/s]
    3,220,000/4,194,304 seeds      239,750,646 nodes   [ 229.6 min,    17,400 nodes/s]
    3,240,000/4,194,304 seeds      239,770,646 nodes   [ 229.7 min,    17,394 nodes/s]
    3,260,000/4,194,304 seeds      239,790,646 nodes   [ 229.8 min,    17,389 nodes/s]
    3,280,000/4,194,304 seeds      239,810,646 nodes   [ 229.9 min,    17,383 nodes/s]
    3,300,000/4,194,304 seeds      239,830,646 nodes   [ 230.0 min,    17,377 nodes/s]
    3,320,000/4,194,304 seeds      239,850,646 nodes   [ 230.1 min,    17,372 nodes/s]
    3,340,000/4,194,304 seeds      239,870,646 nodes   [ 230.2 min,    17,366 nodes/s]
    3,360,000/4,194,304 seeds      239,890,646 nodes   [ 230.3 min,    17,361 nodes/s]
